index,x,y,z,nx,ny,nz,theta
254,0.311188,0.025832,0.319248,0.389701,0.899817,0.196116,20.011650
255,0.309079,0.026514,0.319875,0.317673,0.927697,0.196116,20.090436
256,0.306933,0.027025,0.320502,0.243673,0.949822,0.196116,20.169222
257,0.304763,0.027363,0.321129,0.168162,0.966054,0.196116,20.248008
258,0.302583,0.027528,0.321755,0.091608,0.976292,0.196116,20.326794
259,0.300407,0.027521,0.322382,0.014485,0.980474,0.196116,20.405580
260,0.298247,0.027342,0.323009,-0.062728,0.978572,0.196116,20.484366
261,0.296119,0.026995,0.323636,-0.139551,0.970600,0.196116,20.563152
262,0.294034,0.026484,0.324263,-0.215509,0.956606,0.196116,20.641938
263,0.292005,0.025812,0.324890,-0.290130,0.936677,0.196116,20.720724
264,0.290045,0.024986,0.325517,-0.362950,0.910937,0.196116,20.799510
265,0.288164,0.024013,0.326144,-0.433519,0.879545,0.196116,20.878296
266,0.286375,0.022899,0.326771,-0.501399,0.842697,0.196116,20.957082
267,0.284688,0.021653,0.327398,-0.566167,0.800620,0.196116,21.035868
268,0.283111,0.020285,0.328025,-0.627424,0.753577,0.196116,21.114654
269,0.281655,0.018803,0.328652,-0.684787,0.701858,0.196116,21.193440
270,0.280326,0.017218,0.329279,-0.737902,0.645785,0.196116,21.272226
271,0.279133,0.015541,0.329906,-0.786440,0.585706,0.196116,21.351012
272,0.278080,0.013784,0.330533,-0.830098,0.521992,0.196116,21.429798
273,0.277174,0.011958,0.331160,-0.868606,0.455041,0.196116,21.508584
274,0.276419,0.010075,0.331787,-0.901725,0.385266,0.196116,21.587370
275,0.275819,0.008148,0.332414,-0.929250,0.313101,0.196116,21.666156
276,0.275374,0.006189,0.333041,-0.951010,0.238993,0.196116,21.744942
277,0.275087,0.004210,0.333668,-0.966870,0.163403,0.196116,21.823728
278,0.274958,0.002225,0.334295,-0.976731,0.086799,0.196116,21.902514
279,0.274986,0.000246,0.334922,-0.980533,0.009657,0.196116,21.981300
280,0.275169,-0.001715,0.335549,-0.978252,-0.067546,0.196116,22.060086
281,0.275505,-0.003645,0.336176,-0.969901,-0.144329,0.196116,22.138872
282,0.275990,-0.005533,0.336803,-0.955533,-0.220217,0.196116,22.217658
283,0.276619,-0.007368,0.337429,-0.935237,-0.294738,0.196116,22.296444
284,0.277388,-0.009139,0.338056,-0.909138,-0.367431,0.196116,22.375230
285,0.278290,-0.010834,0.338683,-0.877400,-0.437845,0.196116,22.454016
286,0.279317,-0.012444,0.339310,-0.840218,-0.505542,0.196116,22.532802
287,0.280463,-0.013961,0.339937,-0.797823,-0.570103,0.196116,22.611589
288,0.281718,-0.015374,0.340564,-0.750478,-0.631127,0.196116,22.690375
289,0.283074,-0.016678,0.341191,-0.698478,-0.688235,0.196116,22.769161
290,0.284521,-0.017863,0.341818,-0.642144,-0.741073,0.196116,22.847947
291,0.286050,-0.018925,0.342445,-0.581826,-0.789314,0.196116,22.926733
292,0.287649,-0.019858,0.343072,-0.517899,-0.832658,0.196116,23.005519
293,0.289308,-0.020657,0.343699,-0.450758,-0.870836,0.196116,23.084305
294,0.291015,-0.021319,0.344326,-0.380821,-0.903612,0.196116,23.163091
295,0.292761,-0.021841,0.344953,-0.308521,-0.930781,0.196116,23.241877
296,0.294532,-0.022221,0.345580,-0.234308,-0.952176,0.196116,23.320663
297,0.296318,-0.022459,0.346207,-0.158640,-0.967663,0.196116,23.399449
298,0.298108,-0.022554,0.346834,-0.081989,-0.977147,0.196116,23.478235
299,0.299889,-0.022508,0.347461,-0.004828,-0.980569,0.196116,23.557021
300,0.301652,-0.022321,0.348088,0.072362,-0.977907,0.196116,23.635807
301,0.303384,-0.021998,0.348715,0.149103,-0.969178,0.196116,23.714593
302,0.305076,-0.021542,0.349342,0.224919,-0.954437,0.196116,23.793379
303,0.306718,-0.020956,0.349969,0.299340,-0.933774,0.196116,23.872165
304,0.308299,-0.020246,0.350596,0.371904,-0.907318,0.196116,23.950951
305,0.309810,-0.019418,0.351223,0.442160,-0.875233,0.196116,24.029737
306,0.311243,-0.018479,0.351850,0.509673,-0.837718,0.196116,24.108523
307,0.312589,-0.017435,0.352476,0.574025,-0.795006,0.196116,24.187309
308,0.313841,-0.016294,0.353103,0.634814,-0.747361,0.196116,24.266095
309,0.314992,-0.015066,0.353730,0.691666,-0.695080,0.196116,24.344881
310,0.316036,-0.013757,0.354357,0.744226,-0.638487,0.196116,24.423667
311,0.316968,-0.012379,0.354984,0.792170,-0.577932,0.196116,24.502453
312,0.317782,-0.010939,0.355611,0.835198,-0.513792,0.196116,24.581239
313,0.318477,-0.009449,0.356238,0.873045,-0.446464,0.196116,24.660025
314,0.319047,-0.007917,0.356865,0.905476,-0.376367,0.196116,24.738811
315,0.319492,-0.006355,0.357492,0.932289,-0.303934,0.196116,24.817597
316,0.319810,-0.004771,0.358119,0.953318,-0.229616,0.196116,24.896383
317,0.320000,-0.003178,0.358746,0.968432,-0.153874,0.196116,24.975169
318,0.320063,-0.001584,0.359373,0.977539,-0.077176,0.196116,25.053955
319,0.320000,-0.000000,0.360000,0.980581,-0.000000,0.196116,25.132741
